2017-10-31T13:35:06.664+0530 I -        [conn7] end connection 127.0.0.1:52511 (4 connections now open)
2017-10-31T13:35:06.665+0530 I -        [conn6] end connection 127.0.0.1:52510 (3 connections now open)
2017-10-31T13:36:19.820+0530 I -        [conn5] end connection 127.0.0.1:52506 (2 connections now open)
2017-10-31T13:36:23.158+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:52519 #8 (2 connections now open)
2017-10-31T13:36:23.159+0530 I NETWORK  [conn8] received client metadata from 127.0.0.1:52519 conn8: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T13:36:23.169+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:52523 #9 (3 connections now open)
2017-10-31T13:36:23.170+0530 I NETWORK  [conn9] received client metadata from 127.0.0.1:52523 conn9: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T13:36:23.174+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:52524 #10 (4 connections now open)
2017-10-31T13:36:23.174+0530 I NETWORK  [conn10] received client metadata from 127.0.0.1:52524 conn10: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T13:36:23.175+0530 I -        [conn10] end connection 127.0.0.1:52524 (4 connections now open)
2017-10-31T13:36:23.175+0530 I -        [conn9] end connection 127.0.0.1:52523 (3 connections now open)
2017-10-31T14:38:09.475+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to localhost:27017
2017-10-31T14:38:10.481+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to localhost:27017, took 1006ms (3 connections now open to localhost:27017)
2017-10-31T14:39:09.476+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Ending idle connection to host localhost:27017 because the pool meets constraints; 2 connections to that host remain open
2017-10-31T14:50:19.035+0530 I -        [conn8] end connection 127.0.0.1:52519 (2 connections now open)
2017-10-31T14:50:22.793+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:58767 #11 (2 connections now open)
2017-10-31T14:50:22.794+0530 I NETWORK  [conn11] received client metadata from 127.0.0.1:58767 conn11: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T14:50:22.802+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:58771 #12 (3 connections now open)
2017-10-31T14:50:22.802+0530 I NETWORK  [conn12] received client metadata from 127.0.0.1:58771 conn12: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T14:50:22.804+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:58772 #13 (4 connections now open)
2017-10-31T14:50:22.804+0530 I NETWORK  [conn13] received client metadata from 127.0.0.1:58772 conn13: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T14:50:22.805+0530 I -        [conn13] end connection 127.0.0.1:58772 (4 connections now open)
2017-10-31T14:50:22.805+0530 I -        [conn12] end connection 127.0.0.1:58771 (3 connections now open)
2017-10-31T15:46:21.897+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:64653 #14 (3 connections now open)
2017-10-31T15:46:21.898+0530 I NETWORK  [conn14] received client metadata from 127.0.0.1:64653 conn14: { driver: { name: "mongo-java-driver", version: "3.4.2" }, os: { type: "Windows", name: "Windows Server 2012 R2", architecture: "amd64", version: "6.3" }, platform: "Java/Oracle Corporation/1.8.0_121-b13" }
2017-10-31T15:46:22.311+0530 I -        [conn14] end connection 127.0.0.1:64653 (3 connections now open)
2017-10-31T15:47:05.565+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:64684 #15 (3 connections now open)
2017-10-31T15:47:05.567+0530 I NETWORK  [conn15] received client metadata from 127.0.0.1:64684 conn15: { driver: { name: "mongo-java-driver", version: "3.4.2" }, os: { type: "Windows", name: "Windows Server 2012 R2", architecture: "amd64", version: "6.3" }, platform: "Java/Oracle Corporation/1.8.0_121-b13" }
2017-10-31T15:47:05.937+0530 I -        [conn15] end connection 127.0.0.1:64684 (3 connections now open)
2017-10-31T15:48:16.682+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:64723 #16 (3 connections now open)
2017-10-31T15:48:16.683+0530 I NETWORK  [conn16] received client metadata from 127.0.0.1:64723 conn16: { driver: { name: "mongo-java-driver", version: "3.4.2" }, os: { type: "Windows", name: "Windows Server 2012 R2", architecture: "amd64", version: "6.3" }, platform: "Java/Oracle Corporation/1.8.0_121-b13" }
2017-10-31T15:48:17.052+0530 I -        [conn16] end connection 127.0.0.1:64723 (3 connections now open)
2017-10-31T15:58:45.577+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:64845 #17 (3 connections now open)
2017-10-31T15:58:45.578+0530 I NETWORK  [conn17] received client metadata from 127.0.0.1:64845 conn17: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Windows", name: "Windows Server 2012 R2", architecture: "amd64", version: "6.3" }, platform: "Java/Oracle Corporation/1.8.0_141-b15" }
2017-10-31T15:58:45.945+0530 I -        [conn17] end connection 127.0.0.1:64845 (3 connections now open)
2017-10-31T16:00:01.799+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:64861 #18 (3 connections now open)
2017-10-31T16:00:01.800+0530 I NETWORK  [conn18] received client metadata from 127.0.0.1:64861 conn18: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Windows", name: "Windows Server 2012 R2", architecture: "amd64", version: "6.3" }, platform: "Java/Oracle Corporation/1.8.0_141-b15" }
2017-10-31T16:00:02.159+0530 I -        [conn18] end connection 127.0.0.1:64861 (3 connections now open)
2017-10-31T16:00:46.156+0530 I -        [conn11] end connection 127.0.0.1:58767 (2 connections now open)
2017-10-31T16:02:00.698+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:64915 #19 (2 connections now open)
2017-10-31T16:02:00.710+0530 I NETWORK  [conn19] received client metadata from 127.0.0.1:64915 conn19: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Windows", name: "Windows Server 2012 R2", architecture: "amd64", version: "6.3" }, platform: "Java/Oracle Corporation/1.8.0_141-b15" }
2017-10-31T16:02:01.084+0530 I -        [conn19] end connection 127.0.0.1:64915 (2 connections now open)
2017-10-31T16:05:37.838+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:64984 #20 (2 connections now open)
2017-10-31T16:05:37.839+0530 I NETWORK  [conn20] received client metadata from 127.0.0.1:64984 conn20: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Windows", name: "Windows Server 2012 R2", architecture: "amd64", version: "6.3" }, platform: "Java/Oracle Corporation/1.8.0_141-b15" }
2017-10-31T16:05:38.201+0530 I -        [conn20] end connection 127.0.0.1:64984 (2 connections now open)
2017-10-31T16:05:58.075+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:65011 #21 (2 connections now open)
2017-10-31T16:05:58.077+0530 I NETWORK  [conn21] received client metadata from 127.0.0.1:65011 conn21: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Windows", name: "Windows Server 2012 R2", architecture: "amd64", version: "6.3" }, platform: "Java/Oracle Corporation/1.8.0_141-b15" }
2017-10-31T16:05:58.801+0530 I -        [conn21] end connection 127.0.0.1:65011 (2 connections now open)
2017-10-31T16:08:56.450+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:65061 #22 (2 connections now open)
2017-10-31T16:08:56.451+0530 I NETWORK  [conn22] received client metadata from 127.0.0.1:65061 conn22: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Windows", name: "Windows Server 2012 R2", architecture: "amd64", version: "6.3" }, platform: "Java/Oracle Corporation/1.8.0_141-b15" }
2017-10-31T16:08:57.111+0530 I -        [conn22] end connection 127.0.0.1:65061 (2 connections now open)
2017-10-31T17:45:21.057+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to localhost:27017
2017-10-31T17:45:22.053+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to localhost:27017, took 996ms (3 connections now open to localhost:27017)
2017-10-31T17:46:21.058+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Ending idle connection to host localhost:27017 because the pool meets constraints; 2 connections to that host remain open
2017-10-31T17:57:41.062+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:56747 #23 (2 connections now open)
2017-10-31T17:57:41.062+0530 I NETWORK  [conn23] received client metadata from 127.0.0.1:56747 conn23: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T17:57:41.076+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:56751 #24 (3 connections now open)
2017-10-31T17:57:41.076+0530 I NETWORK  [conn24] received client metadata from 127.0.0.1:56751 conn24: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T17:57:41.078+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:56752 #25 (4 connections now open)
